"FOREST_TYPE_CD","FOREST_TYPE","FOREST_TYPE_GROUP_CD","FOREST_TYPE_GROUP"
"101","Jack pine","100","White / red / jack pine group"
"102","Red pine","100","White / red / jack pine group"
"103","Eastern white pine","100","White / red / jack pine group"
"104","Eastern white pine / eastern hemlock","100","White / red / jack pine group"
"105","Eastern hemlock","100","White / red / jack pine group"
"100","White / red / jack pine group","100","White / red / jack pine group"
"127","Northern white-cedar","120","Spruce / fir group"
"128","Fraser fir","120","Spruce / fir group"
"129","Red spruce / Fraser fir","120","Spruce / fir group"
"126","Tamarack","120","Spruce / fir group"
"125","Black spruce","120","Spruce / fir group"
"124","Red spruce / balsam fir","120","Spruce / fir group"
"123","Red spruce","120","Spruce / fir group"
"120","Spruce / fir group","120","Spruce / fir group"
"122","White spruce","120","Spruce / fir group"
"121","Balsam fir","120","Spruce / fir group"
"141","Longleaf pine","140","Longleaf / slash pine group"
"142","Slash pine","140","Longleaf / slash pine group"
"140","Longleaf / slash pine group","140","Longleaf / slash pine group"
"150","Tropical softwoods group","150","Tropical softwoods group"
"151","Tropical pines","150","Tropical softwoods group"
"168","Spruce pine","160","Loblolly / shortleaf pine group"
"167","Pitch pine","160","Loblolly / shortleaf pine group"
"166","Pond pine","160","Loblolly / shortleaf pine group"
"164","Sand pine","160","Loblolly / shortleaf pine group"
"163","Virginia pine","160","Loblolly / shortleaf pine group"
"162","Shortleaf pine","160","Loblolly / shortleaf pine group"
"161","Loblolly pine","160","Loblolly / shortleaf pine group"
"160","Loblolly / shortleaf pine group","160","Loblolly / shortleaf pine group"
"165","Table Mountain pine","160","Loblolly / shortleaf pine group"
"171","Eastern redcedar","170","Other eastern softwoods group"
"170","Other eastern softwoods group","170","Other eastern softwoods group"
"172","Florida softwoods","170","Other eastern softwoods group"
"184","Juniper woodland","180","Pinyon / juniper group"
"185","Pinyon / juniper woodland","180","Pinyon / juniper group"
"183","retired (Western juniper)","180","Pinyon / juniper group"
"181","retired (Eastern redcedar)","180","Pinyon / juniper group"
"180","Pinyon / juniper group","180","Pinyon / juniper group"
"182","Rocky Mountain juniper","180","Pinyon / juniper group"
"203","Bigcone Douglas-fir","200","Douglas-fir group"
"201","Douglas-fir","200","Douglas-fir group"
"200","Douglas-fir group","200","Douglas-fir group"
"202","Port-Orford-cedar","200","Douglas-fir group"
"221","Ponderosa pine","220","Ponderosa pine group"
"222","Incense-cedar","220","Ponderosa pine group"
"223","retired (Jeffrey pine / Coulter pine / bigcone Douglas-fir)","220","Ponderosa pine group"
"224","Sugar pine","220","Ponderosa pine group"
"220","Ponderosa pine group","220","Ponderosa pine group"
"226","Coulter pine","220","Ponderosa pine group"
"225","Jeffrey pine","220","Ponderosa pine group"
"241","Western white pine","240","Western white pine group"
"240","Western white pine group","240","Western white pine group"
"260","Fir / spruce / mountain hemlock group","260","Fir / spruce / mountain hemlock group"
"261","White fir","260","Fir / spruce / mountain hemlock group"
"262","Red fir","260","Fir / spruce / mountain hemlock group"
"263","Noble fir","260","Fir / spruce / mountain hemlock group"
"264","Pacific silver fir","260","Fir / spruce / mountain hemlock group"
"265","Engelmann spruce","260","Fir / spruce / mountain hemlock group"
"266","Engelmann spruce / subalpine fir","260","Fir / spruce / mountain hemlock group"
"267","Grand fir","260","Fir / spruce / mountain hemlock group"
"268","Subalpine fir","260","Fir / spruce / mountain hemlock group"
"269","Blue spruce","260","Fir / spruce / mountain hemlock group"
"270","Mountain hemlock","260","Fir / spruce / mountain hemlock group"
"271","Alaska-yellow-cedar","260","Fir / spruce / mountain hemlock group"
"281","Lodgepole pine","280","Lodgepole pine group"
"280","Lodgepole pine group","280","Lodgepole pine group"
"300","Hemlock / Sitka spruce group","300","Hemlock / Sitka spruce group"
"301","Western hemlock","300","Hemlock / Sitka spruce group"
"304","Western redcedar","300","Hemlock / Sitka spruce group"
"305","Sitka spruce","300","Hemlock / Sitka spruce group"
"321","Western larch","320","Western larch group"
"320","Western larch group","320","Western larch group"
"342","Giant sequoia","340","Redwood group"
"341","Redwood","340","Redwood group"
"340","Redwood group","340","Redwood group"
"365","Foxtail pine / bristlecone pine","360","Other western softwoods group"
"366","Limber pine","360","Other western softwoods group"
"364","Monterey pine","360","Other western softwoods group"
"363","Bishop pine","360","Other western softwoods group"
"362","Southwestern white pine","360","Other western softwoods group"
"361","Knobcone pine","360","Other western softwoods group"
"360","Other western softwoods group","360","Other western softwoods group"
"367","Whitebark pine","360","Other western softwoods group"
"369","Western juniper","360","Other western softwoods group"
"368","Miscellaneous western softwoods","360","Other western softwoods group"
"371","California mixed conifer","370","California mixed conifer group"
"370","California mixed conifer group","370","California mixed conifer group"
"381","Scotch pine","380","Exotic softwoods group"
"380","Exotic softwoods group","380","Exotic softwoods group"
"382","retired (Australian pine)","380","Exotic softwoods group"
"385","Introduced larch","380","Exotic softwoods group"
"383","Other exotic softwoods","380","Exotic softwoods group"
"384","Norway spruce","380","Exotic softwoods group"
"390","Other softwoods group","390","Other softwoods group"
"391","Other softwoods","390","Other softwoods group"
"400","Oak / pine group","400","Oak / pine group"
"401","Eastern white pine / northern red oak / white ash","400","Oak / pine group"
"402","Eastern redcedar / hardwood","400","Oak / pine group"
"403","Longleaf pine / oak","400","Oak / pine group"
"404","Shortleaf pine / oak","400","Oak / pine group"
"405","Virginia pine / southern red oak","400","Oak / pine group"
"406","Loblolly pine / hardwood","400","Oak / pine group"
"407","Slash pine / hardwood","400","Oak / pine group"
"409","Other pine / hardwood","400","Oak / pine group"
"500","Oak / hickory group","500","Oak / hickory group"
"501","Post oak / blackjack oak","500","Oak / hickory group"
"502","Chestnut oak","500","Oak / hickory group"
"503","White oak / red oak / hickory","500","Oak / hickory group"
"504","White oak","500","Oak / hickory group"
"505","Northern red oak","500","Oak / hickory group"
"506","Yellow-poplar / white oak / northern red oak","500","Oak / hickory group"
"507","Sassafras / persimmon","500","Oak / hickory group"
"508","Sweetgum / yellow-poplar","500","Oak / hickory group"
"509","Bur oak","500","Oak / hickory group"
"510","Scarlet oak","500","Oak / hickory group"
"511","Yellow-poplar","500","Oak / hickory group"
"512","Black walnut","500","Oak / hickory group"
"513","Black locust","500","Oak / hickory group"
"514","Southern scrub oak","500","Oak / hickory group"
"515","Chestnut oak / black oak / scarlet oak","500","Oak / hickory group"
"516","Cherry / white ash / yellow-poplar","500","Oak / hickory group"
"517","Elm / ash / black locust","500","Oak / hickory group"
"519","Red maple / oak","500","Oak / hickory group"
"520","Mixed upland hardwoods","500","Oak / hickory group"
"600","Oak / gum / cypress group","600","Oak / gum / cypress group"
"601","Swamp chestnut oak / cherrybark oak","600","Oak / gum / cypress group"
"602","Sweetgum / Nuttall oak / willow oak","600","Oak / gum / cypress group"
"605","Overcup oak / water hickory","600","Oak / gum / cypress group"
"606","Atlantic white-cedar","600","Oak / gum / cypress group"
"607","Baldcypress / water tupelo","600","Oak / gum / cypress group"
"608","Sweetbay / swamp tupelo / red maple","600","Oak / gum / cypress group"
"609","Baldcypress / pondcypress","600","Oak / gum / cypress group"
"700","Elm / ash / cottonwood group","700","Elm / ash / cottonwood group"
"701","Black ash / American elm / red maple","700","Elm / ash / cottonwood group"
"702","River birch / sycamore","700","Elm / ash / cottonwood group"
"703","Cottonwood","700","Elm / ash / cottonwood group"
"704","Willow","700","Elm / ash / cottonwood group"
"705","Sycamore / pecan / American elm","700","Elm / ash / cottonwood group"
"706","Sugarberry / hackberry / elm / green ash","700","Elm / ash / cottonwood group"
"707","Silver maple / American elm","700","Elm / ash / cottonwood group"
"708","Red maple / lowland","700","Elm / ash / cottonwood group"
"709","Cottonwood / willow","700","Elm / ash / cottonwood group"
"722","Oregon ash","700","Elm / ash / cottonwood group"
"800","Maple / beech / birch group","800","Maple / beech / birch group"
"801","Sugar maple / beech / yellow birch","800","Maple / beech / birch group"
"802","Black cherry","800","Maple / beech / birch group"
"803","retired (Cherry / ash / yellow-poplar)","800","Maple / beech / birch group"
"805","Hard maple / basswood","800","Maple / beech / birch group"
"807","retired (Elm / ash / locust)","800","Maple / beech / birch group"
"809","Red maple / upland","800","Maple / beech / birch group"
"900","Aspen / birch group","900","Aspen / birch group"
"901","Aspen","900","Aspen / birch group"
"902","Paper birch","900","Aspen / birch group"
"903","Gray birch","900","Aspen / birch group"
"904","Balsam poplar","900","Aspen / birch group"
"905","Pin cherry","900","Aspen / birch group"
"912","Bigleaf maple","910","Alder / maple group"
"911","Red alder","910","Alder / maple group"
"910","Alder / maple group","910","Alder / maple group"
"923","Oregon white oak","920","Western oak group"
"924","Blue oak","920","Western oak group"
"925","retired (Deciduous oak woodland)","920","Western oak group"
"926","retired (Evergreen oak woodland)","920","Western oak group"
"931","Coast live oak","920","Western oak group"
"932","retired (Canyon live oak / interior live oak)","920","Western oak group"
"922","California black oak","920","Western oak group"
"921","Gray pine","920","Western oak group"
"920","Western oak group","920","Western oak group"
"933","Canyon live oak","920","Western oak group"
"935","California white oak (valley oak)","920","Western oak group"
"934","Interior live oak","920","Western oak group"
"940","Tanoak / laurel group","940","Tanoak / laurel group"
"943","Giant chinkapin","940","Tanoak / laurel group"
"942","California laurel","940","Tanoak / laurel group"
"941","Tanoak","940","Tanoak / laurel group"
"953","retired (Mountain brush woodland)","950","retired (Other western hardwoods group)"
"954","retired (Intermountain maple woodland)","950","retired (Other western hardwoods group)"
"952","retired (Mesquite woodland)","950","retired (Other western hardwoods group)"
"951","retired (Pacific madrone)","950","retired (Other western hardwoods group)"
"955","retired (Miscellaneous western hardwoods woodland)","950","retired (Other western hardwoods group)"
"950","retired (Other western hardwoods group)","950","retired (Other western hardwoods group)"
"960","Other hardwoods group","960","Other hardwoods group"
"962","Other hardwoods","960","Other hardwoods group"
"961","Pacific madrone","960","Other hardwoods group"
"973","Mesquite woodland","970","Woodland hardwoods group"
"972","Evergreen oak woodland","970","Woodland hardwoods group"
"971","Deciduous oak woodland","970","Woodland hardwoods group"
"970","Woodland hardwoods group","970","Woodland hardwoods group"
"974","Cercocarpus (mountain brush) woodland","970","Woodland hardwoods group"
"975","Intermountain maple woodland","970","Woodland hardwoods group"
"976","Miscellaneous woodland hardwoods","970","Woodland hardwoods group"
"983","Palms","980","Tropical hardwoods group"
"982","Mangrove","980","Tropical hardwoods group"
"981","retired (Sable palm)","980","Tropical hardwoods group"
"980","Tropical hardwoods group","980","Tropical hardwoods group"
"984","Dry forest","980","Tropical hardwoods group"
"989","Other tropical hardwoods","980","Tropical hardwoods group"
"988","Cloud forest","980","Tropical hardwoods group"
"987","Lower montane wet and rain forest","980","Tropical hardwoods group"
"986","Wet and rain forest","980","Tropical hardwoods group"
"985","Moist forest","980","Tropical hardwoods group"
"993","Eucalyptus","990","Exotic hardwoods group"
"995","Other exotic hardwoods","990","Exotic hardwoods group"
"992","Melaleuca","990","Exotic hardwoods group"
"991","Paulownia","990","Exotic hardwoods group"
"990","Exotic hardwoods group","990","Exotic hardwoods group"
"999","Nonstocked","999","Nonstocked"
